Country Name,Country Code,Series Name,Series Code,2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023]
Philippines,PHL,"Wage and salaried workers, female (% of female employment) (modeled ILO estimate)",SL.EMP.WORK.FE.ZS,48.0620513261209,48.191523552062,47.7948136110277,48.9484174278194,50.6777948612485,49.5306279914969,50.0034844848425,50.9254525459154,51.1611291776132,51.7263461283618,52.8539555797587,53.0658286117581,54.4227402949734,55.7094801920478,55.2092173507024,56.7838932563453,57.1350943414053,58.6707113704993,59.48201361019,59.8706870062784,58.3761720677112,58.9657591850898,57.8750782169865,58.2043749051076
Philippines,PHL,Proportion of seats held by women in national parliaments (%),SG.GEN.PARL.ZS,11.2612612612613,17.7570093457944,17.7570093457944,17.7570093457944,15.2542372881356,15.2542372881356,15.2542372881356,20.5020920502092,20.5020920502092,20.9737827715356,22.1428571428571,22.887323943662,22.887323943662,27.3356401384083,27.3356401384083,27.2413793103448,29.7945205479452,29.4520547945205,29.4520547945205,27.9605263157895,27.9605263157895,27.9605263157895,27.3311897106109,27.3311897106109
Philippines,PHL,Female share of employment in senior and middle management (%),SL.EMP.SMGT.FE.ZS,..,..,..,..,..,..,..,38.78,41.676,42.764,42.203,41.168,42.157,43.01,41.759,42.722,23.854,23.245,25.509,29.31,35.429,37.965,41.323,43.164
Philippines,PHL,"Share of youth not in education, employment or training, female (% of female youth population)",SL.UEM.NEET.FE.ZS,..,..,..,..,..,..,32.175,32.394,32.601,32.532,32.767,32.241,32.791,31.835,30.773,29.446,29.896,29.15,26.317,24.798,25.296,21.049,15.65,15.554
Philippines,PHL,"Share of youth not in education, employment or training, male (% of male youth population)",SL.UEM.NEET.MA.ZS,..,..,..,..,..,..,18.477,18.991,18.394,18.659,19.329,18.051,18.272,18.189,17.512,17.704,16.058,15.79,14.758,14.193,17.682,14.541,10.396,9.326
Philippines,PHL,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,1793.34761146436,1807.70892524758,1837.25429286854,1892.82161995051,1978.34489133113,2037.8776605946,2110.42044781284,2209.34651083329,2264.9462907288,2256.72554835463,2373.14312064664,2416.75212064542,2533.74141964959,2654.41506933978,2776.92005909479,2909.85818010301,3076.3374186759,3247.4503878362,3410.93647976109,3575.88170922922,3198.66690008413,3350.97587587776,3577.70136573244,3744.69763802928
Philippines,PHL,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,1.9282797124846,0.800810377832349,1.63440956717702,3.02447664962099,4.51829535753411,3.00922096669444,3.55972238279863,4.68750495300476,2.51657128580275,-0.362955289837316,5.15869430276467,1.83760514144211,4.8407653397621,4.76266633818079,4.61514068278228,4.7872505574235,5.7212148588973,5.56223020665776,5.03429067114457,4.83577546655691,-10.5488615065624,4.76163916254069,6.76595410569132,4.66769736279124
Philippines,PHL,"Industry (including construction), value added (% of GDP)",NV.IND.TOTL.ZS,34.9752847681216,34.8976152580491,34.78343526285,34.5405640298629,33.6186962072883,33.8136763053241,33.4625853303804,33.000860932449,32.765288410954,31.5225426812628,32.3395560456604,31.3386827828469,31.3994933632444,30.7754466314331,31.0474444753394,30.4819509834967,30.2859171672694,30.1265505767725,30.5637401548214,30.3275078794624,28.3999175850521,28.8898091185459,29.2212399364338,28.1976225091774
Cambodia,KHM,"Labor force participation rate, female (% of female population ages 15+) (modeled ILO estimate)",SL.TLF.CACT.FE.ZS,77.834,77.074,76.315,75.559,75.325,75.101,74.887,74.683,71.971,77.375,81.275,81.841,78.356,74.402,74.39,73.417,75.918,76.417,76.845,77.289,77.09,73.711,77.173,77.22
Cambodia,KHM,"Labor force participation rate, male (% of male population ages 15+) (modeled ILO estimate)",SL.TLF.CACT.MA.ZS,83.469,84.32,85.158,85.985,86.653,87.302,87.936,88.551,86.695,87.158,88.589,89.397,88.07,86.589,86.745,86.354,88.076,86.849,87.432,88.011,87.833,85.799,87.927,87.885
Cambodia,KHM,"School enrollment, tertiary, female (% gross)",SE.TER.ENRR.FE,0.903339982032776,1.05134999752045,1.31751000881195,..,1.9096599817276,2.37378001213074,3.95321989059448,5.02929019927979,6.00997018814087,7.66751003265381,9.13068008422852,9.23761654669515,..,..,..,12.0145785041136,..,12.1344359974038,13.1598079499194,14.5145863362757,14.7938127420907,13.6561596079933,13.7625064842526,18.7855793507951
Cambodia,KHM,"School enrollment, tertiary, male (% gross)",SE.TER.ENRR.MA,2.90040993690491,2.96337008476257,3.40274000167847,..,4.25398015975952,5.16561985015869,8.42107963562012,10.317569732666,11.8730802536011,13.6643695831299,15.2214498519897,13.6887918793213,..,..,..,15.1867156107376,..,12.8981590226799,13.3747621730465,11.3454330995231,12.9473038915107,13.3444704361961,15.4474004503566,16.1011763576224
Cambodia,KHM,"Vulnerable employment, female (% of female employment) (modeled ILO estimate)",SL.EMP.VULN.FE.ZS,66.3483326093135,64.7936422479317,64.5168037525444,64.2689848189942,63.9610972562402,63.7154915461806,63.4281163822979,63.2218977052011,63.064497996064,62.5357346194084,62.090882485576,61.7564446338619,61.5538545860396,61.3367716509706,61.0358611537945,60.7378097608698,60.3743852303016,59.9962396604976,59.6610507829453,59.3597660201241,59.267199148468,58.8859659426115,58.8747049599323,58.6517352524884
Cambodia,KHM,"Wage and salaried workers, female (% of female employment) (modeled ILO estimate)",SL.EMP.WORK.FE.ZS,31.5859987986635,33.2501440446691,33.4810710451515,33.7060566105584,33.9709600806362,34.2120518079404,34.4576248691215,34.6671174735631,34.8692110124919,35.3750657967651,35.7894186548157,36.1004386198569,36.2982681925227,36.4899753436433,36.7642358686857,37.0243627269213,37.3409706543881,37.6774109627408,37.9495949857407,38.2113619383892,38.0037540335074,38.3700033944611,38.3644637426102,38.6166952372508
