Country Name,Country Code,Series Name,Series Code,2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023],2024 [YR2024],2025 [YR2025]
Thailand,THA,"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,21.8,20.8,19.8,18.9,18.1,17.3,16.6,15.9,15.3,14.7,14.2,13.7,13.2,12.7,12.3,11.9,11.5,11.1,10.8,10.4,10.1,9.8,9.5,9.2,..,..
Thailand,THA,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,71.205,71.52,71.775,72.101,72.1,72.894,73.341,73.779,74.221,74.669,75.012,75.302,75.59,75.96,76.279,76.563,76.769,76.989,77.19,77.197,77.331,77.606,75.291,76.412,..,..
Cambodia,KHM,"Industry (including construction), value added (% of GDP)",NV.IND.TOTL.ZS,21.6455986512559,23.2646257907737,25.3793058382166,26.3428745441044,27.6802685813967,27.4192470160455,29.0700225848228,28.1400350776131,26.0495966887473,25.5665162922046,26.0088985136981,26.6606926732023,27.6110297650086,28.9581198037895,29.9169916479613,31.4639051712341,33.0562094608004,34.2980809169165,36.8714237524226,39.0455946521572,37.4576122779361,40.3205085730071,40.8649626222158,40.5173741615592,41.7506561774631,..
Cambodia,KHM,Carbon intensity of GDP (kg CO2e per constant 2015 US$ of GDP),EN.GHG.CO2.RT.GDP.KD,0.268302895005596,0.273084283107873,0.264067670509226,0.257573541578756,0.235454134671281,0.232012201313951,0.232862783705682,0.259280658033008,0.267349681906158,0.305807482088944,0.307821300057522,0.298359581850088,0.290990721070207,0.272770942872111,0.311915547265906,0.35242574491405,0.406210255393298,0.419556785815319,0.401505685434299,0.474650140150456,0.583695429098051,0.56162448575645,0.531395638318619,0.520680115915079,0.50490725393044,..
Cambodia,KHM,Carbon dioxide (CO2) emissions excluding LULUCF per capita (t CO2e/capita),EN.GHG.CO2.PC.CE.AR5,0.160595894702245,0.172816902877153,0.17486253272109,0.18528127568775,0.182676416757728,0.201001517798453,0.220536243491838,0.267119017293309,0.291564814662618,0.341665960393113,0.355795978766856,0.364412931860331,0.376906521441665,0.375413441925121,0.456810037844296,0.54531544042914,0.668405454858677,0.735875459113371,0.756550637862052,0.953249815669925,1.1140611022444,1.08885754085366,1.06878240808886,1.08564797278218,1.10207037315065,..
Cambodia,KHM,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3,29.7987214798005,29.9057244650667,30.0191592913356,30.098509540539,30.1032587946087,29.9928906354765,29.6130476724133,28.8642622907811,27.7883527366484,26.427137256084,24.8224340951565,21.6807107694691,22.9965791117395,25.7785023524529,22.1052880421246,21.599028896344,22.4071810127085,20.7075312769695,22.9919425508182,22.9738017157091,24.1436022803452,..,..,..,..,..
Cambodia,KHM,"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,105.9,96.5,86.7,78,70.8,64.8,59.8,55.4,51.3,47.4,43.7,40.5,37.7,35.3,33.3,31.6,30.2,28.9,27.7,26.7,25.6,24.7,23.8,22.9,..,..
Cambodia,KHM,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,59.491,60.457,61.395,62.345,63.256,64.113,64.886,65.549,66.147,66.747,67.311,67.869,68.371,68.755,69.117,69.398,69.635,69.842,69.993,70.127,70.059,69.301,70.528,70.668,..,..
Lao PDR,LAO,"Industry (including construction), value added (% of GDP)",NV.IND.TOTL.ZS,16.4770694017999,16.9937147919347,18.3826897329941,20.1201441501939,19.3595097686057,23.2287895606829,26.1754512486046,25.3930205228552,26.9497231702456,25.163093788149,30.4660210858755,30.815970194642,32.4366446720109,30.4277075542967,28.815000545489,27.6933442499915,28.7595046372574,30.91247539947,31.533192488879,31.531381987864,32.4163678323352,34.1299777246213,34.1089797342112,30.5335808308347,29.0463781785597,..
Lao PDR,LAO,Carbon intensity of GDP (kg CO2e per constant 2015 US$ of GDP),EN.GHG.CO2.RT.GDP.KD,0.187588075684995,0.195342761271036,0.206882255023494,0.202753273384687,0.199847330249289,0.193200668092778,0.233308782598439,0.229197016438604,0.248285677922964,0.28911829193048,0.298755669837112,0.29191518253191,0.288335567876087,0.315618667058693,0.3262259525794,0.618831607253139,1.02794638613386,1.16605403009036,1.13273351240515,1.04749422021918,1.04589411337462,1.24990325660181,1.22793582142929,1.26793131387144,1.23272866544214,..
Lao PDR,LAO,Carbon dioxide (CO2) emissions excluding LULUCF per capita (t CO2e/capita),EN.GHG.CO2.PC.CE.AR5,0.172061042728584,0.186381120141295,0.20574279762084,0.210602243440398,0.217585848686857,0.221926040668041,0.28652401395224,0.298205023714399,0.343065642386553,0.423077773444872,0.467525939369713,0.486447711772495,0.511690636170271,0.596607216188438,0.654511028510084,1.31255012574164,2.29721448088974,2.74206282655521,2.78650036580858,2.67630204116372,2.645846687138,3.19548907488521,3.17918742501495,3.35860711157858,3.35435098295083,..
